day,language,part,time_seconds,timestamp
07,python,2,0.002958,2026-01-05T17:12:10.710492
08,python,1,0.091292,2026-01-05T17:12:10.959557
08,python,2,0.271937,2026-01-05T17:12:11.231988
09,python,1,0.083806,2026-01-05T17:12:11.410970
09,python,2,0.342633,2026-01-05T17:12:11.754198
10,python,1,0.021187,2026-01-05T17:12:11.885091
10,python,2,0.931429,2026-01-05T17:12:12.817031
11,python,1,0.000578,2026-01-05T17:12:12.926121
11,python,2,0.002102,2026-01-05T17:12:12.928583
12,python,1,0.003748,2026-01-05T17:12:13.016043
12,python,2,0.000001,2026-01-05T17:12:13.016406
01,python,1,0.001820,2026-01-05T17:14:04.859760
01,python,2,0.002721,2026-01-05T17:14:04.863033
02,python,1,0.723020,2026-01-05T17:14:05.684453
02,python,2,1.480382,2026-01-05T17:14:07.165456
03,python,1,0.004219,2026-01-05T17:14:07.260245
03,python,2,0.009559,2026-01-05T17:14:07.270397
04,python,1,0.065612,2026-01-05T17:14:07.421806
04,python,2,0.470162,2026-01-05T17:14:07.892479
05,python,1,0.005929,2026-01-05T17:14:07.993082
05,python,2,0.000482,2026-01-05T17:14:07.993868
06,python,1,0.000966,2026-01-05T17:14:08.080056
06,python,2,0.004663,2026-01-05T17:14:08.085109
07,python,1,0.001524,2026-01-05T17:14:08.172500
07,python,2,0.002187,2026-01-05T17:14:08.175068
08,python,1,0.092215,2026-01-05T17:14:08.424813
08,python,2,0.255853,2026-01-05T17:14:08.681300
09,python,1,0.110466,2026-01-05T17:14:08.888946
09,python,2,0.335224,2026-01-05T17:14:09.224669
10,python,1,0.018238,2026-01-05T17:14:09.366077
10,python,2,0.970284,2026-01-05T17:14:10.336813
11,python,1,0.001273,2026-01-05T17:14:10.460112
11,python,2,0.003172,2026-01-05T17:14:10.463753
12,python,1,0.003037,2026-01-05T17:14:10.550295
12,python,2,0.000001,2026-01-05T17:14:10.550714
01,rust,1,0.000052,2026-01-05T17:14:23.472205229+00:00
01,rust,2,0.000058,2026-01-05T17:14:23.472382873+00:00
02,rust,1,0.004153,2026-01-05T17:14:23.681112994+00:00
02,rust,2,0.021822,2026-01-05T17:14:23.703179192+00:00
03,rust,1,0.000158,2026-01-05T17:14:23.912480518+00:00
03,rust,2,0.000268,2026-01-05T17:14:23.912954393+00:00
01,python,1,0.001827,2026-01-05T17:26:24.076294
